english_meaning,arrernte_word,audio_url,all_audio_urls,,,,,,,,,,,,,,,,,
"bad, wrong, not useable",akurne,https://arrernte-angkentye.online/ecall/audio/akurne_m.mp3,https://arrernte-angkentye.online/ecall/audio/akurne_m.mp3,,,,,,,,,,,,,,,,,
brain,akurrknge,https://arrernte-angkentye.online/ecall/audio/akurrknge_m.mp3,https://arrernte-angkentye.online/ecall/audio/akurrknge_m.mp3,,,,,,,,,,,,,,,,,
"not knowing something, unfamiliar with",akutne,https://arrernte-angkentye.online/ecall/audio/akutne_m.mp3,https://arrernte-angkentye.online/ecall/audio/akutne_m.mp3,,,,,,,,,,,,,,,,,
left hand,akwangenye,https://arrernte-angkentye.online/ecall/audio/akwangenye.mp3,https://arrernte-angkentye.online/ecall/audio/akwangenye.mp3,,,,,,,,,,,,,,,,,
right hand,akwe-arratye,https://arrernte-angkentye.online/ecall/audio/akwe-arratye_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwe-arratye_m.mp3,,,,,,,,,,,,,,,,,
"small, little, not much",akweke,https://arrernte-angkentye.online/ecall/audio/akweke_m.mp3,https://arrernte-angkentye.online/ecall/audio/akweke_m.mp3,,,,,,,,,,,,,,,,,
"supposedly, reportedly",akwele,https://arrernte-angkentye.online/ecall/audio/akwele_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwele_m.mp3,,,,,,,,,,,,,,,,,
"put inside something, insert",akwerneme,https://arrernte-angkentye.online/ecall/audio/akwerneme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwerneme_m.mp3,,,,,,,,,,,,,,,,,
"small, young of animals",akwerrke,https://arrernte-angkentye.online/ecall/audio/akwerrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwerrke_m.mp3,,,,,,,,,,,,,,,,,
"still, yet, continuing",akwete,https://arrernte-angkentye.online/ecall/audio/akwete_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwete_m.mp3,,,,,,,,,,,,,,,,,
always,akwetethe,https://arrernte-angkentye.online/ecall/audio/akwetethe_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwetethe_m.mp3,,,,,,,,,,,,,,,,,
"always, regularly, permanent",akwetethenhe,https://arrernte-angkentye.online/ecall/audio/akwetethenhe.mp3,https://arrernte-angkentye.online/ecall/audio/akwetethenhe.mp3,,,,,,,,,,,,,,,,,
traditional windbreak,akwintye,https://arrernte-angkentye.online/ecall/audio/akwintye_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwintye_m.mp3,,,,,,,,,,,,,,,,,
"wave, signal to",akwirreme,https://arrernte-angkentye.online/ecall/audio/akwirreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/akwirreme_m.mp3,,,,,,,,,,,,,,,,,
"like this, like that",alakenhe,https://arrernte-angkentye.online/ecall/audio/alakenhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alakenhe_m.mp3,,,,,,,,,,,,,,,,,
wild banana,alangkwe,https://arrernte-angkentye.online/ecall/audio/alangkwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alangkwe_m.mp3,,,,,,,,,,,,,,,,,
point of spear,alarte,https://arrernte-angkentye.online/ecall/audio/alarte_m.mp3,https://arrernte-angkentye.online/ecall/audio/alarte_m.mp3,,,,,,,,,,,,,,,,,
"area of open water, lake, sea",alaye,https://arrernte-angkentye.online/ecall/audio/alaye.mp3,https://arrernte-angkentye.online/ecall/audio/alaye.mp3,,,,,,,,,,,,,,,,,
'Look out!',Alaye!,https://arrernte-angkentye.online/ecall/audio/alaye!.mp3,https://arrernte-angkentye.online/ecall/audio/alaye!.mp3,,,,,,,,,,,,,,,,,
liver,aleme,https://arrernte-angkentye.online/ecall/audio/aleme_m.mp3,https://arrernte-angkentye.online/ecall/audio/aleme_m.mp3,,,,,,,,,,,,,,,,,
hide yourself,alengke-iwelheme,https://arrernte-angkentye.online/ecall/audio/alengke-iwelheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alengke-iwelheme_m.mp3,,,,,,,,,,,,,,,,,
hide something,alengke-iweme,https://arrernte-angkentye.online/ecall/audio/alengke-iweme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alengke-iweme_m.mp3,,,,,,,,,,,,,,,,,
tongue,alenye,https://arrernte-angkentye.online/ecall/audio/alenye_m.mp3,https://arrernte-angkentye.online/ecall/audio/alenye_m.mp3,,,,,,,,,,,,,,,,,
firestick,alepe,https://arrernte-angkentye.online/ecall/audio/alepe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alepe_m.mp3,,,,,,,,,,,,,,,,,
"traveller, stranger",alethange,https://arrernte-angkentye.online/ecall/audio/alethange_m.mp3,https://arrernte-angkentye.online/ecall/audio/alethange_m.mp3,,,,,,,,,,,,,,,,,
sand goanna,alewatyerre,https://arrernte-angkentye.online/ecall/audio/alewatyerre.mp3,https://arrernte-angkentye.online/ecall/audio/alewatyerre.mp3,,,,,,,,,,,,,,,,,
child who has lost one or both parents,alhampwe,https://arrernte-angkentye.online/ecall/audio/alhampwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhampwe_m.mp3,,,,,,,,,,,,,,,,,
lightning,alharrkentye,https://arrernte-angkentye.online/ecall/audio/alharrkentye_m.mp3,https://arrernte-angkentye.online/ecall/audio/alharrkentye_m.mp3,,,,,,,,,,,,,,,,,
nose,alhe,https://arrernte-angkentye.online/ecall/audio/alhe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhe_m.mp3,,,,,,,,,,,,,,,,,
Mt. Gillen,Alhekulyele,https://arrernte-angkentye.online/ecall/audio/alhekulyele.mp3,https://arrernte-angkentye.online/ecall/audio/alhekulyele.mp3,,,,,,,,,,,,,,,,,
"go, go along, travel",alheme,https://arrernte-angkentye.online/ecall/audio/alheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alheme_m.mp3,,,,,,,,,,,,,,,,,
scratch something,alherreme,https://arrernte-angkentye.online/ecall/audio/alherreme.mp3,https://arrernte-angkentye.online/ecall/audio/alherreme.mp3,,,,,,,,,,,,,,,,,
wash yourself,alhewelheme,https://arrernte-angkentye.online/ecall/audio/alhewelheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhewelheme_m.mp3,,,,,,,,,,,,,,,,,
wash something,alheweme,https://arrernte-angkentye.online/ecall/audio/alheweme.mp3,https://arrernte-angkentye.online/ecall/audio/alheweme.mp3,,,,,,,,,,,,,,,,,
"sad, feeling sorrow",alhwarrpe,https://arrernte-angkentye.online/ecall/audio/alhwarrpe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhwarrpe_m.mp3,,,,,,,,,,,,,,,,,
blood,alhwe,https://arrernte-angkentye.online/ecall/audio/alhwe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhwe_m.mp3,,,,,,,,,,,,,,,,,
"burrow, animal hole",alhwenge,https://arrernte-angkentye.online/ecall/audio/alhwenge_m.mp3,https://arrernte-angkentye.online/ecall/audio/alhwenge_m.mp3,,,,,,,,,,,,,,,,,
"new, flash",alkarle,https://arrernte-angkentye.online/ecall/audio/alkarle_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkarle_m.mp3,,,,,,,,,,,,,,,,,
sky,alkere,https://arrernte-angkentye.online/ecall/audio/alkere_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkere_m.mp3,,,,,,,,,,,,,,,,,
take off and fly,alkereke-irreme,https://arrernte-angkentye.online/ecall/audio/alkereke-irreme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkereke-irreme_m.mp3,,,,,,,,,,,,,,,,,
fly along,alkerele alheme,https://arrernte-angkentye.online/ecall/audio/alkerele_alheme_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkerele_alheme_m.mp3,,,,,,,,,,,,,,,,,
hip,alkngarlpe,https://arrernte-angkentye.online/ecall/audio/alkngarlpe_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngarlpe_m.mp3,,,,,,,,,,,,,,,,,
eyebrow,alkngarnte,https://arrernte-angkentye.online/ecall/audio/alkngarnte_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngarnte_m.mp3,,,,,,,,,,,,,,,,,
ankle,alkngerurrke,https://arrernte-angkentye.online/ecall/audio/alkngerurrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/alkngerurrke_m.mp3,,,,,,,,,,,,,,,,,
eye,alknge,https://arrernte-angkentye.online/ecall/audio/alknge_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknge_m.mp3,,,,,,,,,,,,,,,,,
cat ('green eyes'),alknge atherrke,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke_m.mp3,,,,,,,,,,,,,,,,,
cat ('green eyes'),alknge atherrke-atherrke,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke-atherrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke-atherrke_m.mp3,,,,,,,,,,,,,,,,,
eyeball,alknge kwarte,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke-atherrke_m.mp3,https://arrernte-angkentye.online/ecall/audio/alknge_atherrke-atherrke_m.mp3,,,,,,,,,,,,,,,,,
eyelash,alknge-irlpelhe,https://arrernte-angkentye.online/ecall/audio/alknge-irlpelhe.mp3,https://arrernte-angkentye.online/ecall/audio/alknge-irlpelhe.mp3,,,,,,,,,,,,,,,,,
