Native,AudioURL
ankwe,https://arrernte-angkentye.online/ecall/audio/ankwe.mp3
ankwe-inteme,https://arrernte-angkentye.online/ecall/audio/ankwe-inteme.mp3
annge,https://arrernte-angkentye.online/ecall/audio/annge.mp3
anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre.mp3
anngwerre-anngwerre,https://arrernte-angkentye.online/ecall/audio/anngwerre-anngwerre.mp3
anpeme,https://arrernte-angkentye.online/ecall/audio/anpeme.mp3
anpere,https://arrernte-angkentye.online/ecall/audio/anpere.mp3
anpere alheme,https://arrernte-angkentye.online/ecall/audio/anperealheme.mp3
anperneme,https://arrernte-angkentye.online/ecall/audio/anperneme.mp3
anpernirreme,https://arrernte-angkentye.online/ecall/audio/anpernirreme.mp3
anpernirrentye,https://arrernte-angkentye.online/ecall/audio/anpernirrentye.mp3
antangkeme,https://arrernte-angkentye.online/ecall/audio/antangkeme.mp3
ante,https://arrernte-angkentye.online/ecall/audio/ante.mp3
​-ante,https://arrernte-angkentye.online/ecall/audio/-ante.mp3
anteke,https://arrernte-angkentye.online/ecall/audio/anteke.mp3
antekerre,https://arrernte-angkentye.online/ecall/audio/antekerre.mp3
anteme,https://arrernte-angkentye.online/ecall/audio/anteme.mp3
antenhe,https://arrernte-angkentye.online/ecall/audio/antenhe.mp3
antere,https://arrernte-angkentye.online/ecall/audio/antere.mp3
antethe,https://arrernte-angkentye.online/ecall/audio/antethe.mp3
antewe-irreme,https://arrernte-angkentye.online/ecall/audio/antewe-irreme.mp3
anteweke-antewe-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-antewe-irreme.mp3
anteweke-anteweke-irreme,https://arrernte-angkentye.online/ecall/audio/anteweke-anteweke-irreme.mp3
Anthelke Ulpaye,https://arrernte-angkentye.online/ecall/audio/anthelkeulpaye.mp3
antheme,https://arrernte-angkentye.online/ecall/audio/antheme.mp3
anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe.mp3
Anthepe,https://arrernte-angkentye.online/ecall/audio/anthepe.mp3
anthurre,https://arrernte-angkentye.online/ecall/audio/anthurre.mp3
